,Event Number,Occurred/Discovered Date and Time,Product Category,Product Type,Volume Released,Latitude,Longitude,Gas,Liquid,Miscellaneous,Amine,Butane,Condensate,Contaminated Water,Crude Oil - Sour,Crude Oil - Sweet,Crude Oil - Synthetic,Diesel Fuel,Drilling Fluid,Fuel Gas,Gasoline,Glycol,Hydrogen Sulphide,Jet Fuel,Lube Oil,Mixed HVP Hydrocarbons,Natural Gas - Sour,Natural Gas - Sweet,Natural Gas Liquids,Odourant,Potassium Carbonate,Potassium Hydroxide (caustic solution),Produced Water,Propane,Pulp slurry,Sulphur,Sulphur Dioxide,Waste Oil,Water
712,INC2020-005,2020-01-20 09:51:00,Liquid,Condensate,26.0,52.14173322,-109.8129918,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,INC2015-109,2015-09-16 07:53:00,Gas,Natural Gas Liquids,0.0076,49.749362,-101.244345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,INC2010-051,2010-05-22 02:00:00,Gas,Natural Gas - Sweet,1.0,57.19361,-118.20534,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
682,INC2018-139,2018-10-05 01:40:00,Gas,Natural Gas - Sweet,607.13,50.30496,-112.09675,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422,INC2014-064,2014-04-30 11:20:00,Miscellaneous,Amine,6.5,58.653246,-122.684823,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
567,INC2016-107,2016-09-03 12:36:00,Gas,Natural Gas - Sweet,1.0,49.443028,-91.714439,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
516,INC2015-123,2015-10-29 02:00:00,Gas,Natural Gas - Sweet,1.0,57.3426,-111.74337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
385,INC2013-161,2013-11-25 11:40:00,Liquid,Crude Oil - Sweet,2.25,53.307156,-113.511011,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721,INC2020-057,2020-06-12 11:23:00,Liquid,Crude Oil - Sweet,150.0,49.06567935,-122.1597143,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,INC2017-035,2017-03-04 10:00:00,Miscellaneous,Hydrogen Sulphide,0.59,55.56909171,-121.9446616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,INC2013-096,2013-06-19 12:15:00,Gas,Natural Gas - Sweet,5000.0,50.480661,-105.867038,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
387,INC2013-164,2013-12-01 09:50:00,Liquid,Crude Oil - Sweet,12.0,53.544543,-113.360195,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
703,INC2019-089,2019-08-08 05:00:00,Gas,Natural Gas - Sour,155958.38,58.6527,-122.7042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
429,INC2014-078,2014-06-01 11:50:00,Gas,Natural Gas - Sweet,160000.0,53.818798,-113.584867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
335,INC2013-041,2013-03-07 04:30:00,Gas,Natural Gas - Sweet,0.0001,49.681165,-95.374581,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
457,INC2014-155,2014-12-23 06:00:00,Gas,Natural Gas - Sweet,0.01,49.79171,-94.49432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
220,INC2011-114,2011-08-04 09:30:00,Gas,Natural Gas - Sweet,934.0,44.648901,-63.575335,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
572,INC2016-120,2016-10-05 04:00:00,Gas,Natural Gas - Sweet,342.0,51.599421,-114.244235,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
525,INC2015-144,2015-12-11 10:00:00,Gas,Natural Gas - Sweet,1.0,49.72011504,-96.98386154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
718,INC2020-043,2020-04-26 08:34:00,Gas,Natural Gas - Sweet,1.0,56.7054,-111.403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172,INC2011-004,2011-01-12 02:00:00,Gas,Natural Gas - Sweet,192.0,46.84822454,-79.8090245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
551,INC2016-066,2016-06-16 08:00:00,Miscellaneous,Contaminated Water,725.0,55.56909171,-121.9446616,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,INC2008-004,2008-01-23 06:05:00,Liquid,Crude Oil - Sweet,100.0,49.73135,-101.23557,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
714,INC2020-016,2020-02-07 10:30:00,Gas,Natural Gas - Sweet,0.1,53.198483,-116.192766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,INC2012-081,2012-06-28 10:57:00,Gas,Natural Gas - Sweet,955000.0,57.06925,-121.63939,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
343,INC2013-066,2013-04-25 10:40:00,Gas,Natural Gas - Sweet,736.0,44.68563,-63.59679,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
237,INC2011-173,2011-11-21 12:00:00,Gas,Natural Gas - Sweet,4.0,49.74457,-84.06787,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
583,INC2016-149,2016-12-22 05:10:00,Gas,Natural Gas - Sweet,9246.0,53.20998,-111.84962,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,INC2011-007,2011-01-20 12:00:00,Gas,Propane,4.2,56.14641,-120.66907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
650,INC2017-195,2017-12-05 11:00:00,Gas,Natural Gas - Sweet,5125.0,54.17425,-116.67334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
468,INC2015-027,2015-03-09 12:00:00,Gas,Propane,6.94,56.1497,-120.6724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
467,INC2015-026,2015-03-09 09:30:00,Miscellaneous,Contaminated Water,2.0,55.573,-121.941,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,INC2010-103,2010-09-22 11:15:00,Gas,Natural Gas - Sweet,14.2,45.129046,-66.831379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
623,INC2017-115,2017-08-10 03:55:00,Gas,Natural Gas - Sweet,9777.0,50.71329,-112.09327,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
289,INC2012-111,2012-08-22 02:31:00,Gas,Natural Gas - Sweet,34.9,51.40776,-113.65548,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
519,INC2015-132,2015-11-17 10:36:00,Miscellaneous,Hydrogen Sulphide,770.0,55.56909171,-121.9446616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
611,INC2017-079,2017-05-30 03:05:00,Gas,Natural Gas - Sweet,7.5,54.95988,-119.1945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
465,INC2015-021,2015-02-27 05:50:00,Gas,Natural Gas - Sweet,0.1,55.0045,-119.472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
322,INC2013-004,2013-01-08 04:55:00,Gas,Natural Gas - Sweet,679.0,45.17741,-61.6223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
463,INC2015-018,2015-02-13 12:00:00,Miscellaneous,Water,70.0,56.1447,-120.6686,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
482,INC2015-056,2015-05-11 11:00:00,Gas,Natural Gas - Sweet,3400000.0,50.16626,-110.59318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
643,INC2017-185,2017-11-19 01:00:00,Gas,Natural Gas - Sweet,34483.0,49.95917767,-120.9160278,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301,INC2012-133,2012-09-28 12:20:00,Gas,Natural Gas - Sweet,5.7,45.806186,-66.593942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,INC2008-075,2008-07-23 08:30:00,Liquid,Diesel Fuel,2.0,53.5416,-113.36454,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,INC2015-096,2015-08-21 12:00:00,Gas,Natural Gas - Sweet,0.001,51.32322,-113.37743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
79,INC2009-104,2009-09-19 11:59:00,Gas,Natural Gas - Sweet,63000.0,53.96117,-116.46306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,INC2009-129,2009-11-22 12:00:00,Gas,Natural Gas - Sweet,0.1,45.26269,-65.98211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
419,INC2014-062,2014-04-28 03:20:00,Gas,Natural Gas - Sweet,0.001,55.569186,-110.720302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
701,INC2019-049,2019-05-01 04:57:00,Miscellaneous,Water,236.0,47.36,-68.33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
341,INC2013-063,2013-04-15 11:05:00,Gas,Natural Gas - Sweet,0.028,45.218884,-65.984989,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
529,INC2016-002,2015-12-31 04:22:00,Gas,Natural Gas - Sweet,72500.0,56.17397,-120.60927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
490,INC2015-083,2015-07-03 12:00:00,Gas,Natural Gas - Sour,13.4,58.654643,-122.68924,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
449,INC2014-137,2014-11-12 02:30:00,Gas,Natural Gas - Sweet,0.001,52.46696,-114.2987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
691,INC2018-187,2018-12-30 11:00:00,Gas,Natural Gas - Sweet,609.0,52.72947567,-122.4419765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
552,INC2016-067,2016-07-02 02:00:00,Gas,Natural Gas - Sweet,2000.0,46.11305974,-64.71567652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
553,INC2016-077,2016-07-11 01:00:00,Gas,Natural Gas - Sweet,1750.0,43.00475402,-79.05071351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
664,INC2018-013,2018-02-04 08:30:00,Gas,Natural Gas - Sweet,159600.0,51.5509423,-121.2689384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,INC2009-090,2009-09-04 01:30:00,Gas,Fuel Gas,100.0,54.8308,-118.64572,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,INC2018-060,2018-06-09 02:00:00,Gas,Natural Gas - Sweet,13944.0,55.25153009,-114.5217525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
259,INC2012-038,2012-02-28 11:00:00,Gas,Natural Gas - Sweet,65.0,54.64742,-112.80015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
201,INC2011-065,2011-04-22 03:00:00,Liquid,Crude Oil - Sweet,1.6,53.60352778,-115.4963889,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,INC2015-050,2014-05-08 07:00:00,Gas,Natural Gas - Sweet,10374.0,46.16167,-65.34959,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
561,INC2016-090,2016-08-10 08:30:00,Miscellaneous,Sulphur Dioxide,578.0,55.56909171,-121.9446616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
106,INC2010-022,2010-02-16 08:00:00,Gas,Mixed HVP Hydrocarbons,0.25,56.14669,-120.66454,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
169,INC2010-157,2010-12-15 04:00:00,Gas,Natural Gas - Sweet,1.0,44.663897,-63.568182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
555,INC2016-080,2016-07-20 11:25:00,Gas,Natural Gas - Sweet,40.0,50.70313,-111.157945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109,INC2010-029,2010-02-26 03:00:00,Liquid,Gasoline,30.0,45.624393,-73.639169,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
612,INC2017-102,2017-05-30 10:30:00,Liquid,Crude Oil - Synthetic,12.8,53.544231,-113.349269,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,INC2009-040,2009-05-06 10:00:00,Liquid,Crude Oil - Sweet,305.0,49.26849,-122.93134,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,INC2009-137,2009-12-11 01:30:00,Gas,Natural Gas - Sweet,69.0,45.37081,-74.12582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
585,INC2017-007,2017-01-17 03:00:00,Gas,Natural Gas - Sour,22.3,55.571667,-121.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
498,INC2015-091,2015-08-16 06:00:00,Gas,Natural Gas - Sour,164.0,55.57,-121.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
618,INC2017-101,2017-07-13 04:00:00,Gas,Natural Gas - Sour,300.0,56.14630285,-120.6691693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,INC2010-001,2010-01-04 07:28:00,Gas,Natural Gas - Sweet,125000.0,56.367553,-119.931713,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
445,INC2014-130,2014-10-18 10:30:00,Miscellaneous,Hydrogen Sulphide,0.0003,55.56909171,-121.9446616,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,INC2011-032,2011-02-23 12:00:00,Gas,Natural Gas - Sweet,3.0,45.3,-62.983333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
604,INC2017-057,2017-05-01 09:10:00,Miscellaneous,Hydrogen Sulphide,0.06,56.14630285,-120.6691693,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,INC2014-017,2014-01-22 10:24:00,Liquid,Crude Oil - Sweet,17.0,53.5990003,-115.451183,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,INC2009-035,2009-04-19 10:15:00,Miscellaneous,Sulphur,0.004,58.65325,-122.68501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
601,INC2017-052,2017-04-08 12:45:00,Gas,Natural Gas - Sour,7327.0,55.57343158,-121.9438193,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,INC2011-158,2011-10-12 12:30:00,Gas,Propane,0.0005,64.65833,-124.83612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,INC2011-029,2011-02-19 11:30:00,Gas,Natural Gas - Sweet,2790000.0,49.58894444,-87.9718889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
531,INC2016-006,2016-01-05 12:15:00,Miscellaneous,Contaminated Water,2.9,58.65324554,-122.6848231,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,INC2014-007,2014-01-11 12:01:00,Gas,Propane,1.78,55.793058,-120.52672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
687,INC2018-166,2018-11-23 09:30:00,Gas,Propane,0.0001,50.038132,-99.623821,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,INC2011-085,2011-05-11 12:00:00,Gas,Natural Gas - Sweet,2.0,49.30721,-114.015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
610,INC2017-075,2017-05-29 12:00:00,Gas,Natural Gas - Sweet,1.0,53.01993,-112.18718,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
660,INC2018-008,2018-01-19 09:30:00,Gas,Natural Gas - Sour,60.0,55.79305809,-120.5231165,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488,INC2015-073,2015-06-27 09:30:00,Liquid,Crude Oil - Sweet,16.0,52.63471,-111.2641,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,INC2014-106,2014-08-13 05:00:00,Gas,Natural Gas Liquids,0.0001,53.547403,-113.355714,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
423,INC2014-068,2014-05-05 10:00:00,Gas,Natural Gas - Sweet,30.0,44.665206,-63.567743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
